Date,FAX,KYN
2017-07-31,5.18,18.75
2017-07-28,5.15,18.780001000000002
2017-07-27,5.13,18.67
2017-07-26,5.14,18.809998999999998
2017-07-25,5.11,18.790001
2017-07-24,5.13,18.66
2017-07-21,5.12,18.59
2017-07-20,5.1,18.709999
2017-07-19,5.115,18.77
2017-07-18,5.075272,18.84
2017-07-17,5.045475,18.700001
2017-07-14,5.045475,18.799999
2017-07-13,4.985883,18.440001000000002
2017-07-12,4.985883,18.459999
2017-07-11,4.9759519999999995,18.059998999999998
2017-07-10,4.9759519999999995,18.07
